zh-CN,zh-TW,en,ja,ko,fr,de,it,es,pt,ru,th,vi,id
“重拳落空”,「重拳落空」,"""The Fist Misses""",「拳、落つ」,'빗나간 주먹',« Échec du poing »,„Die Faust schlägt daneben“,"""Il Pugno manca il bersaglio""",“El puño falla”,"""Os Primeiros Erros""",Промах кулака,"""หมัด​หนัก​พลาด​เป้า​""","""Nắm Đấm Hụt""",“Tinju Meleset”
“红骑士”,「紅騎士」,"""The Red Knight""",「赤騎士」,'적기사',« La chevalière vermeille »,„Die Rote Ritterin“,"""La cavaliera rossa""",“La caballera roja”,"""A Cavaleira Vermelha""",Красный рыцарь,"""อัศวิน​สีชา​ด​""","""Kỵ Sĩ Đỏ""",“Kesatria Merah”
“易守‘难’攻？”,「易守『難』攻？」,"""The Refugees Strike Back?!""",「難攻不落？」,"'지키는 건 쉬워도, 공격하긴 어렵다?'",« Les réfugiés contre-attaquent ?! »,„Die Flüchtlinge schlagen zurück?!“,"""I rifugiati si ribellano?!""",“¡¿Los Refugiados contraatacan?!”,"""Os Refugiados Contra-Atacam?!""",Ответный удар беженцев,"""ผู้ลี้ภัย​โต้กลับ​งั้น​หรือ​?!""","""Người Tị Nạn Nổi Dậy?!""",“Pengungsi Melawan?!”
“大地的弃子”,「大地的棄子」,"""Those Forsaken by the Land""",「大地に見捨てられし者」,'대지에게 버림받은 존재',« Les oubliés des Terres »,„Die vom Land Verstoßenen“,"""Rinnegati da Terra""",“Los abandonados por la tierra”,"""Os Abandonados pela Terra""",Отвергнутые землей,"""ผู้​ถูก​ทอดทิ้ง​โดย​แผ่นดิน​""","""Kẻ Bị Vùng Đất Ruồng Bỏ""",“Yang Ditelantarkan Negeri”
“裂伤于此终结”,「裂傷於此終結」,"""Thus Ends the Weeping Gash""",「裂け目の終焉」,'상처의 끝',« Ainsi se referme la plaie béante »,„So schließt sich die triefende Wunde“,"""La chiusura della ferita sanguinante""",“Así termina la herida sangrante”,"""Assim Termina a Ferida Supurada""",«Так затянется кровоточащая рана»,"""จุดจบ​ของ​บาดแผล​ที่​คร่ำครวญ​""","""Vết Thương Than Khóc Đến Đây Khép Lại""",“Berakhirnya Luka yang Meratap”
“枯枝忿怒，复归凋零”,「枯枝忿怒，復歸凋零」,"""Thus Withers the Branch of Fury""",「怒れる枝、再び朽ちる」,'끝내 저물어 버린 마른 가지의 분노',« Ainsi se fane la branche de la fureur »,„Und so verdorrt der Zweig des Zorns“,"""Furia avvizzita""",“Así se marchita la rama de la furia”,"""Assim Definha o Ramo da Fúria""",Увядание ветви ярости,"""กิ่งก้าน​แห่ง​ความ​พิโรธ​จึง​โรยรา​""","""Và nhành Cuồng Nộ đã khô héo""",“Layulah Cabang Amarah”
“诸尘皆净”,「諸塵皆淨」,"""Totally Cleansed and Rinsed""",「清浄無垢」,'티끌 하나 없이',"« Tout propre, tout neuf »",„Gereinigt und gespült“,"""Pulito pulitissimo""",“Limpieza total y reluciente”,"""Totalmente Limpo e Enxaguado""",Абсолютная очистка,"""ชำระล้าง​จน​บริสุทธิ์​""","""Thanh Tẩy Hoàn Toàn""",“Dibasuh dan Dibilas Bersih”
“轨道激流”,「軌道激流」,"""Track Sprayer""",「軌道激流」,'궤도 격류',« Vaporisateur de voies »,„Spurensprüher“,"""Spruzzabinari""",“Rociador de pista”,"""Borrifador de Trilhas""",Направление потока,"""กระแส​ชำระ​เส้นทาง​""","""Dẫn Lưu Phun Trào""",“Penyemprot Jalur”
“死域游身”,「死域遊身」,"""Traveler of the Deathly Realms""",「死地彷徨う者」,'죽음의 영역을 넘나드는 자',« Voyage au royaume des morts »,„Reise in die tödlichen Reiche“,"""Viandante dei reami della morte""",“Viajante de los reinos mortales”,"""Viajante dos Reinos Mortais""",Странствие по царствам смерти,"""นักเดินทาง​แห่ง​แดน​มรณะ​""","""Lữ Khách Cõi Tử""",“Pengelana Alam Mematikan”
“浊流具现”,「濁流具現」,"""Turbidity Manifest""",「濁流具現」,'탁류 구현',« Manifeste de la Turbidité »,„Trübungsverzeichnis“,"""Manifesto di torbidità""",“Manifestación de turbiedad”,"""Manifesto de Turbidez""",Образ помутнения,"""ภูต​สำแดง​สับสน​""","""Sương Đục Hiện Thể""",“Manifestasi Kekeruhan”
“友情扭扭”,「友情扭扭」,"""Twisty Friendship""",「仲良しグルグル」,'우정의 매듭',Amitié sinueuse,„Verworrene Freundschaft“,"""Amicizia elettrica""",“Vínculo enredado”,"""Amizade Sinuosa""",Заряженная дружба,"""มิตรภาพ​บิด​เกลียว​""","""Bước Ngoặt Tình Bạn""",“Pertemanan Berliku”
“非正常移动”,「非正常移動」,"""Unconventional Movement""",「異常移動」,'위상 일탈',« Mouvement inhabituel »,„Auffällige Bewegungen“,"""Trasporto non convenzionale""",“Movimiento poco convencional”,"""Movimento Não Convencional""",Необычный ход,"""การ​เคลื่อนที่​แบบ​ไม่​ปกติ​""","""Chuyển Động Bất Thường""",“Pindah Tak Nyaman”
“不稳定表象”,「不穩定表象」,"""Unstable Æthillu""",「不安定なイーサルー」,'불안정한 잔영',« Æthillu instable »,„Instabile Æthillu“,"""Æthillu instabile""",“Éthillu inestable”,"""Æthillu Instável""",Нестабильные эфирлюзии,"""เงา​มายา​ที่​ไม่​เสถียร​""","""Æthillu Bất Ổn""",“Æthillu Tidak Stabil”
“水自天流”,「水自天流」,"""Water Flows from the Sky""",「水は天より流る」,'물은 하늘로부터 스스로 흘러내린다',« Les eaux tombées du ciel »,„Wasser strömt vom Himmel“,"""L'acqua scorre dal cielo""",“El agua fluye desde los cielos”,"""A Água Flui do Céu""",Небесный поток,"""สายน้ำ​ไหลริน​จาก​ฟากฟ้า​""","""Nước Trên Trời""",“Air Mengalir dari Langit”
“人造南墙”,「人造南牆」,"""We Built the Southern Bastion""",「人造の厚壁」,'인공적으로 만들어진 남쪽 방벽',« Bâtisseurs du bastion sud »,„Erbauer der südlichen Bastion“,"""Abbiamo costruito il bastione meridionale""",“Nosotros construimos el bastión sureño”,"""Construímos o Bastião do Sul""",Мы построили южный бастион,"""พวกเรา​สร้าง​ป้อมปราการ​ใต้​""","""Chúng Ta Dựng Nên Thành Lũy Phương Nam""",“Kami Membangun Baluarti Selatan”
“演武巅峰”,「演武巔峰」,"""Zenith of the Trials""",「演武頂点」,'연무의 정점',« Épreuve ultime »,„Höhepunkt der Prüfungen“,"""Apice delle prove""",“Cenit de las pruebas”,"""Zênite dos Desafios""",Вершина испытаний,"""จุดสูงสุด​แห่ง​บท​ทดสอบ​""","""Đỉnh Cao Khảo Nghiệm""",“Puncak Ujian”
1538°C,1538°C,1538°C,1538°C,"1,538°C",1538°C,1538°C,1538°C,1538°C,1538°C,1538°C,1538°C,1538°C,1538°C
一大筐汤汤券,一大筐湯湯券,A Basket of Tangtang Certs,大量のタンタン券,탕탕의 죽패 더미,Un panier de certificats de Tangtang,Ein Korb mit Tangtang-Zertis,Cesto di certificati di Tangtang,Una canasta de certificados Tangtang,Um Cesto de Certificados de Tangtang,Корзина с сертификатами Тантан,ตะกร้า​ใบรับรอง​ถัง​ถัง,Một Giỏ Chứng Nhận Tangtang,Sekeranjang Sertifikat Tangtang
一条关于邮费的抱怨,一則關於郵費的抱怨,A Complaint About Delivery Fees,送料に関する不満,우편 요금에 대한 불만,Plainte au sujet des frais de livraison,Beschwerde über Liefergebühren,Un reclamo relativo ai costi di spedizione,Una queja sobre las tarifas de entrega,Uma Reclamação sobre Taxas de Entrega,Жалоба на стоимость доставки,ข้อ​ร้องเรียน​เรื่อง​ค่า​จัดส่ง,Một Lời Phàn Nàn Về Phí Giao Hàng,Keluhan tentang Ongkos Pengantaran
善意的告示,善意的告示,A Kind Warning,善意の貼り紙,호의 어린 공지,Avertissement bienveillant,Kleine Vorwarnung,Un avvertimento gentile,Una advertencia amable,Um Aviso Amigável,Объявление,คำเตือน​ด้วย​ความหวังดี,Lời Cảnh Báo Nhẹ Nhàng,Peringatan yang Ramah
给科研者的家信,給科研者的家信,A Letter Home for the Researcher,家族から研究者への手紙,과학 연구원에게 준 편지,Lettre pour le chercheur,Ein Brief an den Forscher,Una lettera per il ricercatore dalla sua famiglia,Una carta a casa para el investigador,Uma Carta de Casa para o Pesquisador,Письмо домой для исследователя,จดหมาย​ถึง​นักวิจัย​จาก​บ้าน,Một Lá Thư Gửi Về Nhà Cho Nhà Nghiên Cứu,Surat Keluarga untuk Peneliti
造极,造極,A New Zenith,極みに至る,극치,Nouveau zénith,Ein neuer Zenit,Un nuovo zenit,Un nuevo cenit,Um Novo Zênite,Новый зенит,จุดสูงสุด​ใหม่,Một Đỉnh Cao Mới,Zenit Baru
云端驻足,雲端駐足,A Pause Atop the Clouds,雲上で、ふと,하늘 끝에 발을 디딘 순간,Une pause au-dessus des nuages,Eine Pause über den Wolken,Una pausa tra le nuvole,Una pausa sobre las nubes,Uma Pausa no Topo das Nuvens,Отдых за облаками,หยุดพัก​เหนือ​ก้อน​เมฆ,Một Khoảng Dừng Trên Đỉnh,Sejenak di Atas Awan
一张残破的纸片,一張殘破的紙片,A Piece of Scrap Paper,破れたメモ,찢어진 쪽지 조각,Un bout de papier,Ein Stück Schmierpapier,Un pezzo di carta straccia,A Trozo de papel desechado,Um Pedaço de Papel de Rascunho,Бумажка,เศษกระดาษ​ชิ้น​หนึ่ง,Mảnh Giấy Vụn,Lembaran Kertas Bekas
仰视开端,仰視開端,A Proud Start,仰ぎ見るその先に,고개를 들고,Des débuts majestueux,Ein stolzer Anfang,Un fiero inizio,Un comienzo orgulloso,Um Início Orgulhoso,Гордое начало,เริ่มต้น​ภาคภูมิ,Khởi Đầu Kiêu Hãnh,Awal yang Membanggakan
笔尖的世界,筆尖的世界,A World at the Tip of the Pen,ペン先の世界,글로 그린 세계,Un monde à la pointe du pinceau,Eine Welt in Worten,Un mondo sulla punta della penna,Un mundo en la punta de la pluma,Um Mundo na Ponta da Caneta,Мир на кончике пера,โลก​ทั้ง​ใบ​จรด​ปลาย​ปากกา,Thế Giới Nơi Đầu Ngòi Bút,Dunia di Ujung Pena
废弃偏楼,廢棄偏樓,Abandoned Side Building,廃別棟,폐기된 별관,Annexe abandonnée,Verlassenes Nebengebäude,Edificio laterale abbandonato,Anexo abandonado,Anexo Abandonado,Заброшенное вспомогательное здание,ตึกแถว​ร้าง,Tòa Nhà Phụ Bị Bỏ Hoang,Bangunan Samping Terbengkalai
废弃小径,廢棄小徑,Abandoned Trail,廃道,버려진 오솔길,Sentier abandonné,Vergessener Pfad,Sentiero abbandonato,Sendero abandonado,Trilha Abandonada,Забытая тропа,เส้นทาง​รกร้าง,Đường Mòn Bỏ Quên,Jalur Telantar
像差雾火残块,像差霧火殘塊,Aberrant Hazefyre Fragment,歪の霧火の欠片,수차 안갯불 조각,Fragment d'ignibrume d'anomalie,Anomales Nebelfeuer-Fragment,Frammento di Aberrazione della brumafiamma,Fragmento de Bruma Ardiente Aberrante,Fragmento de Névoa Ardente Aberrante,Фрагмент Отклонения тенепламени,เศษ​เฮ​ซ​ไฟร์​ผิดเพี้ยน,Mảnh Hỏa Sương Dị Thể,Fragmen Hazefyre Aberan
委托,委託,Aberrants: Commissions,依頼,의뢰,Anomalies : commissions,Anomalien: Beauftragungen,Aberrazioni: richieste,Aberrantes: comisiones,Aberrantes: Comissões,Отклонения: заказы,ความผิด​เพี้ยน​: งาน​มอบหมาย,Dị Thể: Ủy Thác,Aberan: Komisi
天赋阵列,天賦陣列,Ability Matrix,素質・配属スキル,재능 배열,Matrice de capacités,Fähigkeitsmatrix,Matrice delle abilità,Matriz de habilidades,Matriz de Capacidade,Матрица умений,เมทริกซ์​ความสามารถ,Ma Trận Năng Lực,Matriks Kemampuan
阿伯莉侦听芯片,阿伯莉偵聽晶片,Aburrey Auditory Chip,アブリー聴覚チップ,아부레이 도청 칩,Puce auditive d'Aburrey,Aburrey-Hörchip,Chip uditivo Aburrey,Chip auditivo de Aburrey,Chip Auditivo de Aburrey,Слуховой чип «Эберрей»,ชิป​ระบบ​เสียง​อ​เบอร์​เรย์,Chip Âm Thanh Aburrey,Chip Auditori Aburrey
阿伯莉侦听芯片·壹型,阿伯莉偵聽晶片·I,Aburrey Auditory Chip T1,アブリー聴覚チップⅠ,아부레이 도청 칩 · I,Puce auditive d'Aburrey G1,Aburrey-Hörchip S1,Chip uditivo Aburrey O1,Chip auditivo de Aburrey T1,Chip Auditivo de Aburrey T1,Слуховой чип «Эберрей» К1,ชิป​ระบบ​เสียง​อ​เบอร์​เรย์​ T1,Chip Âm Thanh Aburrey T1,Chip Auditori Aburrey T1
阿伯莉照明器,阿伯莉照明器,Aburrey Flashlight,アブリーライト,아부레이 조명 장치,Lampe torche d'Aburrey,Aburrey-Taschenlampe,Torcia Aburrey,Linterna de Aburrey,Lanterna de Aburrey,Фонарик «Эберрей»,ไฟฉาย​อ​เบอร์​เรย์,Đèn Pin Aburrey,Senter Aburrey
阿伯莉手甲,阿伯莉手甲,Aburrey Gauntlets,アブリーガントレット,아부레이 금속 장갑,Gantelets d'Aburrey,Aburrey-Fingerhandschuhe,Coprimani Aburrey,Guanteletes de Aburrey,Manoplas de Aburrey,Рукавицы «Эберрей»,ถุงมือ​เกราะ​อ​เบอร์​เรย์,Giáp Tay Aburrey,Gauntlet Aburrey
